anio,trimestre,indicador,regimen,corte,categoria_origen,categoria_destino,valor,ee,n_obs
2017,4,TD,tradicional,entidad,San Luis Potosí,NA,2.28,0.244,5398
2018,1,TD,tradicional,entidad,San Luis Potosí,NA,2.86,0.238,5305
2018,2,TD,tradicional,entidad,San Luis Potosí,NA,2.4,0.258,5500
2018,3,TD,tradicional,entidad,San Luis Potosí,NA,2.48,0.22,5449
2018,4,TD,tradicional,entidad,San Luis Potosí,NA,2.14,0.218,5340
2019,1,TD,tradicional,entidad,San Luis Potosí,NA,2.18,0.213,5305
2019,2,TD,tradicional,entidad,San Luis Potosí,NA,2.86,0.226,5385
2019,3,TD,tradicional,entidad,San Luis Potosí,NA,3.31,0.243,5451
2019,4,TD,tradicional,entidad,San Luis Potosí,NA,2.28,0.211,5292
2020,1,TD,tradicional,entidad,San Luis Potosí,NA,2.08,0.22,5335
2020,3,TD,enoen,entidad,San Luis Potosí,NA,3.98,0.431,4614
2020,4,TD,enoen,entidad,San Luis Potosí,NA,3.17,0.365,4073
2021,1,TD,enoen,entidad,San Luis Potosí,NA,3.09,0.288,3465
2021,2,TD,enoen,entidad,San Luis Potosí,NA,2.92,0.366,3856
2021,3,TD,enoen,entidad,San Luis Potosí,NA,4.2,0.324,5056
2021,4,TD,enoen,entidad,San Luis Potosí,NA,3.32,0.248,5947
2022,1,TD,enoen,entidad,San Luis Potosí,NA,2.94,0.241,5274
2022,2,TD,enoen,entidad,San Luis Potosí,NA,3.3,0.311,5176
2022,3,TD,enoen,entidad,San Luis Potosí,NA,3.38,0.257,5107
2022,4,TD,enoen,entidad,San Luis Potosí,NA,2.71,0.306,5160
2023,1,TD,enoe_2023,entidad,San Luis Potosí,NA,2,0.205,6020
2023,2,TD,enoe_2023,entidad,San Luis Potosí,NA,2.81,0.236,5872
2023,3,TD,enoe_2023,entidad,San Luis Potosí,NA,3.07,0.269,5919
2023,4,TD,enoe_2023,entidad,San Luis Potosí,NA,3.11,0.25,5891
2024,1,TD,enoe_2023,entidad,San Luis Potosí,NA,2.31,0.239,5734
2024,2,TD,enoe_2023,entidad,San Luis Potosí,NA,2.64,0.237,5741
2024,3,TD,enoe_2023,entidad,San Luis Potosí,NA,3.66,0.29,5781
2024,4,TD,enoe_2023,entidad,San Luis Potosí,NA,3.15,0.278,5449
2025,1,TD,enoe_2023,entidad,San Luis Potosí,NA,3.18,0.273,5263
2025,2,TD,enoe_2023,entidad,San Luis Potosí,NA,3.74,0.308,5176
2025,3,TD,enoe_2023,entidad,San Luis Potosí,NA,3.1,0.251,5178
2025,4,TD,enoe_2023,entidad,San Luis Potosí,NA,2.68,0.219,5114
2026,1,TD,enoe_2023,entidad,San Luis Potosí,NA,3.02,0.282,5158
2026,2,TD,enoe_2023,entidad,San Luis Potosí,NA,3.16,0.317,5524
2005,1,TD,tradicional,entidad,Sinaloa,NA,3.1,0.349,5516
2005,2,TD,tradicional,entidad,Sinaloa,NA,3.28,0.37,5601
2005,3,TD,tradicional,entidad,Sinaloa,NA,3.69,0.399,5338
2005,4,TD,tradicional,entidad,Sinaloa,NA,2.95,0.332,5546
2006,1,TD,tradicional,entidad,Sinaloa,NA,3.1,0.32,5543
2006,2,TD,tradicional,entidad,Sinaloa,NA,2.59,0.27,5477
2006,3,TD,tradicional,entidad,Sinaloa,NA,4.08,0.421,5308
2006,4,TD,tradicional,entidad,Sinaloa,NA,2.73,0.303,5540
2007,1,TD,tradicional,entidad,Sinaloa,NA,2.63,0.348,5602
2007,2,TD,tradicional,entidad,Sinaloa,NA,2.94,0.346,5604
2007,3,TD,tradicional,entidad,Sinaloa,NA,2.91,0.339,5423
2007,4,TD,tradicional,entidad,Sinaloa,NA,2.42,0.247,5628
2008,1,TD,tradicional,entidad,Sinaloa,NA,2.85,0.34,5480
2008,2,TD,tradicional,entidad,Sinaloa,NA,2.64,0.267,5433
2008,3,TD,tradicional,entidad,Sinaloa,NA,5,0.427,5271
2008,4,TD,tradicional,entidad,Sinaloa,NA,3.52,0.348,5332
2009,1,TD,tradicional,entidad,Sinaloa,NA,3.21,0.31,5414
2009,2,TD,tradicional,entidad,Sinaloa,NA,3.95,0.443,5296
2009,3,TD,tradicional,entidad,Sinaloa,NA,5.9,0.495,5350
2009,4,TD,tradicional,entidad,Sinaloa,NA,5.07,0.524,5671
2010,1,TD,tradicional,entidad,Sinaloa,NA,3.75,0.447,5528
2010,2,TD,tradicional,entidad,Sinaloa,NA,4.53,0.425,5519
2010,3,TD,tradicional,entidad,Sinaloa,NA,4.98,0.394,5368
2010,4,TD,tradicional,entidad,Sinaloa,NA,4.11,0.403,5261
2011,1,TD,tradicional,entidad,Sinaloa,NA,4.58,0.456,5326
2011,2,TD,tradicional,entidad,Sinaloa,NA,5.25,0.466,5386
2011,3,TD,tradicional,entidad,Sinaloa,NA,6.13,0.542,5271
2011,4,TD,tradicional,entidad,Sinaloa,NA,4.52,0.477,5489
2012,1,TD,tradicional,entidad,Sinaloa,NA,4.53,0.479,5441
2012,2,TD,tradicional,entidad,Sinaloa,NA,4.14,0.386,5467
2012,3,TD,tradicional,entidad,Sinaloa,NA,5.08,0.455,5233
2012,4,TD,tradicional,entidad,Sinaloa,NA,4.72,0.67,5255
2013,1,TD,tradicional,entidad,Sinaloa,NA,4.17,0.448,5282
2013,2,TD,tradicional,entidad,Sinaloa,NA,5.05,0.427,5336
2013,3,TD,tradicional,entidad,Sinaloa,NA,6.04,0.433,5245
2013,4,TD,tradicional,entidad,Sinaloa,NA,4.72,0.469,5517
2014,1,TD,tradicional,entidad,Sinaloa,NA,4.89,0.395,5454
2014,2,TD,tradicional,entidad,Sinaloa,NA,5.82,0.46,5329
2014,3,TD,tradicional,entidad,Sinaloa,NA,6.1,0.459,5368
2014,4,TD,tradicional,entidad,Sinaloa,NA,3.82,0.37,5537
2015,1,TD,tradicional,entidad,Sinaloa,NA,3.74,0.345,5545
2015,2,TD,tradicional,entidad,Sinaloa,NA,4.33,0.381,5464
2015,3,TD,tradicional,entidad,Sinaloa,NA,5,0.419,5396
2015,4,TD,tradicional,entidad,Sinaloa,NA,4.11,0.392,5429
2016,1,TD,tradicional,entidad,Sinaloa,NA,4.33,0.372,5509
2016,2,TD,tradicional,entidad,Sinaloa,NA,3.77,0.363,5443
2016,3,TD,tradicional,entidad,Sinaloa,NA,4.04,0.409,5306
2016,4,TD,tradicional,entidad,Sinaloa,NA,2.81,0.319,5447
2017,1,TD,tradicional,entidad,Sinaloa,NA,3.47,0.328,5428
2017,2,TD,tradicional,entidad,Sinaloa,NA,3.74,0.384,5578
2017,3,TD,tradicional,entidad,Sinaloa,NA,3.94,0.373,5284
2017,4,TD,tradicional,entidad,Sinaloa,NA,3.47,0.32,5401
2018,1,TD,tradicional,entidad,Sinaloa,NA,2.4,0.247,5470
2018,2,TD,tradicional,entidad,Sinaloa,NA,3.74,0.379,5307
2018,3,TD,tradicional,entidad,Sinaloa,NA,3.39,0.398,5163
2018,4,TD,tradicional,entidad,Sinaloa,NA,3.11,0.288,5283
2019,1,TD,tradicional,entidad,Sinaloa,NA,3.49,0.322,5313
2019,2,TD,tradicional,entidad,Sinaloa,NA,3,0.271,5333
2019,3,TD,tradicional,entidad,Sinaloa,NA,3.63,0.363,5285
2019,4,TD,tradicional,entidad,Sinaloa,NA,2.85,0.317,5491
2020,1,TD,tradicional,entidad,Sinaloa,NA,2.88,0.286,5343
2020,3,TD,enoen,entidad,Sinaloa,NA,5.29,0.875,2427
2020,4,TD,enoen,entidad,Sinaloa,NA,2.41,0.425,3378
2021,1,TD,enoen,entidad,Sinaloa,NA,2.46,0.403,4492
2021,2,TD,enoen,entidad,Sinaloa,NA,2.57,0.292,5446
2021,3,TD,enoen,entidad,Sinaloa,NA,2.93,0.283,5478
2021,4,TD,enoen,entidad,Sinaloa,NA,2.74,0.265,5588
2022,1,TD,enoen,entidad,Sinaloa,NA,2.66,0.271,4943
2022,2,TD,enoen,entidad,Sinaloa,NA,2.94,0.322,5074
2022,3,TD,enoen,entidad,Sinaloa,NA,3.33,0.375,4985
2022,4,TD,enoen,entidad,Sinaloa,NA,2.79,0.322,5187
2023,1,TD,enoe_2023,entidad,Sinaloa,NA,2.01,0.248,5827
2023,2,TD,enoe_2023,entidad,Sinaloa,NA,2.23,0.236,5794
2023,3,TD,enoe_2023,entidad,Sinaloa,NA,3.01,0.325,5896
2023,4,TD,enoe_2023,entidad,Sinaloa,NA,2.28,0.244,5860
2024,1,TD,enoe_2023,entidad,Sinaloa,NA,1.86,0.241,5666
2024,2,TD,enoe_2023,entidad,Sinaloa,NA,2.41,0.296,5809
2024,3,TD,enoe_2023,entidad,Sinaloa,NA,2.76,0.316,4821
2024,4,TD,enoe_2023,entidad,Sinaloa,NA,2.1,0.257,4913
2025,1,TD,enoe_2023,entidad,Sinaloa,NA,2.75,0.354,5196
2025,2,TD,enoe_2023,entidad,Sinaloa,NA,2.21,0.248,5076
2025,3,TD,enoe_2023,entidad,Sinaloa,NA,2.6,0.294,5110
2025,4,TD,enoe_2023,entidad,Sinaloa,NA,2.47,0.263,5134
2026,1,TD,enoe_2023,entidad,Sinaloa,NA,2.59,0.289,5222
2026,2,TD,enoe_2023,entidad,Sinaloa,NA,3.06,0.304,5081
2005,1,TD,tradicional,entidad,Sonora,NA,3.62,0.424,4766
2005,2,TD,tradicional,entidad,Sonora,NA,3.21,0.365,4762
2005,3,TD,tradicional,entidad,Sonora,NA,4.15,0.482,4693
2005,4,TD,tradicional,entidad,Sonora,NA,2.89,0.369,4757
2006,1,TD,tradicional,entidad,Sonora,NA,2.83,0.35,4881
2006,2,TD,tradicional,entidad,Sonora,NA,2.98,0.343,4955
2006,3,TD,tradicional,entidad,Sonora,NA,3.9,0.481,4761
2006,4,TD,tradicional,entidad,Sonora,NA,3.55,0.422,4919
2007,1,TD,tradicional,entidad,Sonora,NA,2.55,0.26,4948
2007,2,TD,tradicional,entidad,Sonora,NA,2.96,0.392,4950
2007,3,TD,tradicional,entidad,Sonora,NA,3.18,0.391,4966
2007,4,TD,tradicional,entidad,Sonora,NA,2.6,0.365,5100
2008,1,TD,tradicional,entidad,Sonora,NA,3.84,0.452,5105
2008,2,TD,tradicional,entidad,Sonora,NA,3.89,0.491,5253
2008,3,TD,tradicional,entidad,Sonora,NA,4.27,0.419,4971
2008,4,TD,tradicional,entidad,Sonora,NA,4.32,0.42,4894
2009,1,TD,tradicional,entidad,Sonora,NA,5.4,0.599,4920
2009,2,TD,tradicional,entidad,Sonora,NA,5.39,0.465,4928
2009,3,TD,tradicional,entidad,Sonora,NA,6.96,0.505,4889
2009,4,TD,tradicional,entidad,Sonora,NA,6.22,0.528,5038
2010,1,TD,tradicional,entidad,Sonora,NA,7.43,0.537,5129
2010,2,TD,tradicional,entidad,Sonora,NA,6.28,0.67,5128
2010,3,TD,tradicional,entidad,Sonora,NA,8.01,0.55,5024
2010,4,TD,tradicional,entidad,Sonora,NA,7.61,0.608,4985
2011,1,TD,tradicional,entidad,Sonora,NA,6.84,0.62,5050
2011,2,TD,tradicional,entidad,Sonora,NA,5.72,0.517,5086
2011,3,TD,tradicional,entidad,Sonora,NA,7.34,0.587,5257
2011,4,TD,tradicional,entidad,Sonora,NA,6.1,0.539,5182
2012,1,TD,tradicional,entidad,Sonora,NA,6.91,0.634,5280
2012,2,TD,tradicional,entidad,Sonora,NA,5.18,0.441,5285
2012,3,TD,tradicional,entidad,Sonora,NA,7.2,0.706,5286
2012,4,TD,tradicional,entidad,Sonora,NA,6.16,0.601,5042
2013,1,TD,tradicional,entidad,Sonora,NA,4.64,0.433,4973
2013,2,TD,tradicional,entidad,Sonora,NA,5.51,0.427,5198
2013,3,TD,tradicional,entidad,Sonora,NA,6.22,0.465,5004
2013,4,TD,tradicional,entidad,Sonora,NA,5.76,0.429,5252
2014,1,TD,tradicional,entidad,Sonora,NA,5.21,0.407,5252
2014,2,TD,tradicional,entidad,Sonora,NA,4.95,0.408,5313
2014,3,TD,tradicional,entidad,Sonora,NA,6.75,0.509,5085
2014,4,TD,tradicional,entidad,Sonora,NA,5.09,0.417,5215
2015,1,TD,tradicional,entidad,Sonora,NA,5.06,0.344,5193
2015,2,TD,tradicional,entidad,Sonora,NA,4.93,0.441,5275
2015,3,TD,tradicional,entidad,Sonora,NA,4.92,0.378,5089
2015,4,TD,tradicional,entidad,Sonora,NA,4.64,0.399,5106
2016,1,TD,tradicional,entidad,Sonora,NA,5.1,0.403,5119
2016,2,TD,tradicional,entidad,Sonora,NA,5.06,0.449,5180
2016,3,TD,tradicional,entidad,Sonora,NA,5.67,0.495,4951
2016,4,TD,tradicional,entidad,Sonora,NA,4.16,0.382,4985
2017,1,TD,tradicional,entidad,Sonora,NA,3.56,0.333,5082
2017,2,TD,tradicional,entidad,Sonora,NA,3.75,0.328,5132
2017,3,TD,tradicional,entidad,Sonora,NA,4.05,0.373,4956
2017,4,TD,tradicional,entidad,Sonora,NA,3.57,0.352,5071
2018,1,TD,tradicional,entidad,Sonora,NA,3.23,0.376,4942
2018,2,TD,tradicional,entidad,Sonora,NA,3.62,0.334,5130
2018,3,TD,tradicional,entidad,Sonora,NA,4.2,0.375,4964
2018,4,TD,tradicional,entidad,Sonora,NA,3.62,0.337,5020
2019,1,TD,tradicional,entidad,Sonora,NA,4.25,0.359,5019
2019,2,TD,tradicional,entidad,Sonora,NA,4.16,0.405,5126
2019,3,TD,tradicional,entidad,Sonora,NA,4.95,0.414,5087
2019,4,TD,tradicional,entidad,Sonora,NA,3.79,0.394,5101
2020,1,TD,tradicional,entidad,Sonora,NA,4.37,0.386,5042
2020,3,TD,enoen,entidad,Sonora,NA,6.69,0.99,2988
2020,4,TD,enoen,entidad,Sonora,NA,4.92,0.537,4761
2021,1,TD,enoen,entidad,Sonora,NA,4.45,0.417,4047
2021,2,TD,enoen,entidad,Sonora,NA,2.93,0.348,4712
2021,3,TD,enoen,entidad,Sonora,NA,4.35,0.374,5512
2021,4,TD,enoen,entidad,Sonora,NA,3.61,0.306,5765
2022,1,TD,enoen,entidad,Sonora,NA,2.86,0.313,4793
2022,2,TD,enoen,entidad,Sonora,NA,3.07,0.273,4847
2022,3,TD,enoen,entidad,Sonora,NA,3.82,0.326,4776
2022,4,TD,enoen,entidad,Sonora,NA,2.55,0.281,4822
2023,1,TD,enoe_2023,entidad,Sonora,NA,2.86,0.299,5607
2023,2,TD,enoe_2023,entidad,Sonora,NA,2.59,0.27,5651
2023,3,TD,enoe_2023,entidad,Sonora,NA,2.94,0.308,5495
2023,4,TD,enoe_2023,entidad,Sonora,NA,2.82,0.278,5494
2024,1,TD,enoe_2023,entidad,Sonora,NA,2.62,0.292,5261
2024,2,TD,enoe_2023,entidad,Sonora,NA,3.62,0.335,5359
2024,3,TD,enoe_2023,entidad,Sonora,NA,3.57,0.417,5259
2024,4,TD,enoe_2023,entidad,Sonora,NA,2.9,0.352,5241
2025,1,TD,enoe_2023,entidad,Sonora,NA,2.57,0.34,5057
2025,2,TD,enoe_2023,entidad,Sonora,NA,2.51,0.298,5225
2025,3,TD,enoe_2023,entidad,Sonora,NA,3.49,0.361,5332
2025,4,TD,enoe_2023,entidad,Sonora,NA,3.54,0.368,5059
2026,1,TD,enoe_2023,entidad,Sonora,NA,3.02,0.35,4995
2026,2,TD,enoe_2023,entidad,Sonora,NA,2.76,0.305,5120
2005,1,TD,tradicional,entidad,Tabasco,NA,3.64,0.365,4932
2005,2,TD,tradicional,entidad,Tabasco,NA,2.88,0.298,4931
2005,3,TD,tradicional,entidad,Tabasco,NA,3.73,0.342,5266
2005,4,TD,tradicional,entidad,Tabasco,NA,2.97,0.319,5298
2006,1,TD,tradicional,entidad,Tabasco,NA,3.65,0.354,5295
2006,2,TD,tradicional,entidad,Tabasco,NA,2.78,0.343,5178
2006,3,TD,tradicional,entidad,Tabasco,NA,3.45,0.365,5235
2006,4,TD,tradicional,entidad,Tabasco,NA,4.07,0.391,5176
2007,1,TD,tradicional,entidad,Tabasco,NA,5.03,0.402,5300
2007,2,TD,tradicional,entidad,Tabasco,NA,3.93,0.402,5171
2007,3,TD,tradicional,entidad,Tabasco,NA,4.58,0.432,5131
2007,4,TD,tradicional,entidad,Tabasco,NA,4.17,0.667,1860
2008,1,TD,tradicional,entidad,Tabasco,NA,4.39,0.462,5266
2008,2,TD,tradicional,entidad,Tabasco,NA,3.91,0.387,5206
2008,3,TD,tradicional,entidad,Tabasco,NA,4.37,0.342,5202
2008,4,TD,tradicional,entidad,Tabasco,NA,5.69,0.454,4992
2009,1,TD,tradicional,entidad,Tabasco,NA,4.93,0.406,5074
2009,2,TD,tradicional,entidad,Tabasco,NA,5.49,0.52,5033
2009,3,TD,tradicional,entidad,Tabasco,NA,6.64,0.559,5127
2009,4,TD,tradicional,entidad,Tabasco,NA,5.95,0.437,5192
2010,1,TD,tradicional,entidad,Tabasco,NA,6.96,0.516,5253
2010,2,TD,tradicional,entidad,Tabasco,NA,7,0.487,5286
2010,3,TD,tradicional,entidad,Tabasco,NA,8.04,0.508,5115
2010,4,TD,tradicional,entidad,Tabasco,NA,8.2,0.556,5052
2011,1,TD,tradicional,entidad,Tabasco,NA,6.58,0.522,5253
2011,2,TD,tradicional,entidad,Tabasco,NA,6.33,0.506,5283
2011,3,TD,tradicional,entidad,Tabasco,NA,7.1,0.543,5175
2011,4,TD,tradicional,entidad,Tabasco,NA,6.06,0.462,5314
2012,1,TD,tradicional,entidad,Tabasco,NA,5.29,0.414,5046
2012,2,TD,tradicional,entidad,Tabasco,NA,5.97,0.5,5181
2012,3,TD,tradicional,entidad,Tabasco,NA,5.73,0.38,5293
2012,4,TD,tradicional,entidad,Tabasco,NA,5.74,0.484,5107
2013,1,TD,tradicional,entidad,Tabasco,NA,7.19,0.56,5153
2013,2,TD,tradicional,entidad,Tabasco,NA,6.93,0.451,5348
2013,3,TD,tradicional,entidad,Tabasco,NA,6.46,0.499,5367
2013,4,TD,tradicional,entidad,Tabasco,NA,6.03,0.464,5433
2014,1,TD,tradicional,entidad,Tabasco,NA,6.71,0.54,5381
2014,2,TD,tradicional,entidad,Tabasco,NA,6.57,0.489,5455
2014,3,TD,tradicional,entidad,Tabasco,NA,6.37,0.515,5387
2014,4,TD,tradicional,entidad,Tabasco,NA,6.17,0.59,5299
2015,1,TD,tradicional,entidad,Tabasco,NA,6.48,0.511,5183
2015,2,TD,tradicional,entidad,Tabasco,NA,6,0.457,5349
2015,3,TD,tradicional,entidad,Tabasco,NA,7.02,0.453,5300
2015,4,TD,tradicional,entidad,Tabasco,NA,7.46,0.558,5250
2016,1,TD,tradicional,entidad,Tabasco,NA,7.2,0.492,5182
2016,2,TD,tradicional,entidad,Tabasco,NA,7.11,0.461,5399
2016,3,TD,tradicional,entidad,Tabasco,NA,7.84,0.492,5230
2016,4,TD,tradicional,entidad,Tabasco,NA,7.59,0.517,5214
2017,1,TD,tradicional,entidad,Tabasco,NA,6.8,0.53,5108
2017,2,TD,tradicional,entidad,Tabasco,NA,7.33,0.462,5060
2017,3,TD,tradicional,entidad,Tabasco,NA,6.94,0.532,4970
2017,4,TD,tradicional,entidad,Tabasco,NA,6.91,0.531,4878
2018,1,TD,tradicional,entidad,Tabasco,NA,7.59,0.611,4855
2018,2,TD,tradicional,entidad,Tabasco,NA,6.37,0.478,5010
2018,3,TD,tradicional,entidad,Tabasco,NA,7.12,0.47,4971
2018,4,TD,tradicional,entidad,Tabasco,NA,7.85,0.625,5028
2019,1,TD,tradicional,entidad,Tabasco,NA,7.51,0.633,4949
2019,2,TD,tradicional,entidad,Tabasco,NA,7.24,0.526,5201
2019,3,TD,tradicional,entidad,Tabasco,NA,7.17,0.583,5173
2019,4,TD,tradicional,entidad,Tabasco,NA,6.37,0.514,5143
2020,1,TD,tradicional,entidad,Tabasco,NA,5.27,0.449,5146
2020,3,TD,enoen,entidad,Tabasco,NA,7.45,0.605,3916
2020,4,TD,enoen,entidad,Tabasco,NA,7.98,0.666,4888
2021,1,TD,enoen,entidad,Tabasco,NA,6.02,0.641,4988
2021,2,TD,enoen,entidad,Tabasco,NA,5.85,0.716,5095
2021,3,TD,enoen,entidad,Tabasco,NA,6.31,0.457,5125
2021,4,TD,enoen,entidad,Tabasco,NA,5.1,0.443,5238
2022,1,TD,enoen,entidad,Tabasco,NA,4.79,0.421,4850
2022,2,TD,enoen,entidad,Tabasco,NA,5.67,0.467,4987
2022,3,TD,enoen,entidad,Tabasco,NA,5.26,0.517,4958
2022,4,TD,enoen,entidad,Tabasco,NA,4.18,0.414,5076
2023,1,TD,enoe_2023,entidad,Tabasco,NA,3.83,0.359,5857
2023,2,TD,enoe_2023,entidad,Tabasco,NA,4.05,0.378,5425
2023,3,TD,enoe_2023,entidad,Tabasco,NA,3.98,0.397,5634
2023,4,TD,enoe_2023,entidad,Tabasco,NA,3.85,0.368,5613
2024,1,TD,enoe_2023,entidad,Tabasco,NA,3.42,0.32,5475
2024,2,TD,enoe_2023,entidad,Tabasco,NA,4.02,0.374,5480
2024,3,TD,enoe_2023,entidad,Tabasco,NA,4.43,0.356,5529
2024,4,TD,enoe_2023,entidad,Tabasco,NA,4.14,0.337,5548
2025,1,TD,enoe_2023,entidad,Tabasco,NA,4.94,0.537,5414
2025,2,TD,enoe_2023,entidad,Tabasco,NA,4.37,0.474,5476
2025,3,TD,enoe_2023,entidad,Tabasco,NA,4.83,0.412,5406
2025,4,TD,enoe_2023,entidad,Tabasco,NA,4.2,0.381,5257
2026,1,TD,enoe_2023,entidad,Tabasco,NA,3.53,0.34,5291
2026,2,TD,enoe_2023,entidad,Tabasco,NA,4.03,0.35,5351
2005,1,TD,tradicional,entidad,Tamaulipas,NA,5.17,0.469,5175
2005,2,TD,tradicional,entidad,Tamaulipas,NA,4,0.397,5159
2005,3,TD,tradicional,entidad,Tamaulipas,NA,4.79,0.426,5130
2005,4,TD,tradicional,entidad,Tamaulipas,NA,2.89,0.316,5249
2006,1,TD,tradicional,entidad,Tamaulipas,NA,3.89,0.356,5331
2006,2,TD,tradicional,entidad,Tamaulipas,NA,3.9,0.35,5384
2006,3,TD,tradicional,entidad,Tamaulipas,NA,5.49,0.437,5392
2006,4,TD,tradicional,entidad,Tamaulipas,NA,4.91,0.41,5469
2007,1,TD,tradicional,entidad,Tamaulipas,NA,4.73,0.39,5405
2007,2,TD,tradicional,entidad,Tamaulipas,NA,4.04,0.34,5481
2007,3,TD,tradicional,entidad,Tamaulipas,NA,5.57,0.459,5343
2007,4,TD,tradicional,entidad,Tamaulipas,NA,3.55,0.339,5309
2008,1,TD,tradicional,entidad,Tamaulipas,NA,4.1,0.362,5425
2008,2,TD,tradicional,entidad,Tamaulipas,NA,4.32,0.386,5477
2008,3,TD,tradicional,entidad,Tamaulipas,NA,5.03,0.457,5254
2008,4,TD,tradicional,entidad,Tamaulipas,NA,4.86,0.405,5173
2009,1,TD,tradicional,entidad,Tamaulipas,NA,5.72,0.485,5187
2009,2,TD,tradicional,entidad,Tamaulipas,NA,6.18,0.485,5202
2009,3,TD,tradicional,entidad,Tamaulipas,NA,6.73,0.478,5096
2009,4,TD,tradicional,entidad,Tamaulipas,NA,6.38,0.5,5158
2010,1,TD,tradicional,entidad,Tamaulipas,NA,6.19,0.51,5050
2010,2,TD,tradicional,entidad,Tamaulipas,NA,6.72,0.51,5109
2010,3,TD,tradicional,entidad,Tamaulipas,NA,8,0.558,5041
2010,4,TD,tradicional,entidad,Tamaulipas,NA,7.63,0.587,4724
2011,1,TD,tradicional,entidad,Tamaulipas,NA,6.69,0.478,4733
2011,2,TD,tradicional,entidad,Tamaulipas,NA,8.37,0.554,4773
2011,3,TD,tradicional,entidad,Tamaulipas,NA,7.98,0.601,4810
2011,4,TD,tradicional,entidad,Tamaulipas,NA,6.77,0.486,5054
2012,1,TD,tradicional,entidad,Tamaulipas,NA,6.77,0.552,4819
2012,2,TD,tradicional,entidad,Tamaulipas,NA,5.97,0.448,5069
2012,3,TD,tradicional,entidad,Tamaulipas,NA,7.28,0.553,4952
2012,4,TD,tradicional,entidad,Tamaulipas,NA,6.14,0.539,4641
2013,1,TD,tradicional,entidad,Tamaulipas,NA,7.24,0.557,4624
2013,2,TD,tradicional,entidad,Tamaulipas,NA,6.33,0.488,4739
2013,3,TD,tradicional,entidad,Tamaulipas,NA,7.66,0.503,4749
2013,4,TD,tradicional,entidad,Tamaulipas,NA,5.84,0.442,4982
2014,1,TD,tradicional,entidad,Tamaulipas,NA,4.94,0.395,4928
2014,2,TD,tradicional,entidad,Tamaulipas,NA,5.19,0.383,4946
2014,3,TD,tradicional,entidad,Tamaulipas,NA,6.16,0.423,4877
2014,4,TD,tradicional,entidad,Tamaulipas,NA,4.77,0.397,4900
2015,1,TD,tradicional,entidad,Tamaulipas,NA,5.01,0.396,4972
2015,2,TD,tradicional,entidad,Tamaulipas,NA,4.65,0.373,5119
2015,3,TD,tradicional,entidad,Tamaulipas,NA,5.26,0.499,5015
2015,4,TD,tradicional,entidad,Tamaulipas,NA,4.3,0.345,5051
2016,1,TD,tradicional,entidad,Tamaulipas,NA,4.93,0.386,5068
2016,2,TD,tradicional,entidad,Tamaulipas,NA,4.59,0.355,4943
2016,3,TD,tradicional,entidad,Tamaulipas,NA,4.88,0.438,4864
2016,4,TD,tradicional,entidad,Tamaulipas,NA,4.15,0.34,4881
2017,1,TD,tradicional,entidad,Tamaulipas,NA,4.64,0.386,4833
2017,2,TD,tradicional,entidad,Tamaulipas,NA,3.47,0.332,4927
2017,3,TD,tradicional,entidad,Tamaulipas,NA,4.34,0.411,4708
2017,4,TD,tradicional,entidad,Tamaulipas,NA,3.98,0.339,4805
2018,1,TD,tradicional,entidad,Tamaulipas,NA,3.87,0.325,4776
2018,2,TD,tradicional,entidad,Tamaulipas,NA,3.81,0.318,4976
2018,3,TD,tradicional,entidad,Tamaulipas,NA,3.79,0.323,4957
2018,4,TD,tradicional,entidad,Tamaulipas,NA,3.84,0.376,4967
2019,1,TD,tradicional,entidad,Tamaulipas,NA,3.69,0.259,7287
2019,2,TD,tradicional,entidad,Tamaulipas,NA,3.37,0.306,7501
2019,3,TD,tradicional,entidad,Tamaulipas,NA,3.6,0.317,7402
2019,4,TD,tradicional,entidad,Tamaulipas,NA,3.22,0.324,7290
2020,1,TD,tradicional,entidad,Tamaulipas,NA,3.19,0.302,7288
2020,3,TD,enoen,entidad,Tamaulipas,NA,3.79,0.377,3964
2020,4,TD,enoen,entidad,Tamaulipas,NA,3.22,0.283,6954
2021,1,TD,enoen,entidad,Tamaulipas,NA,3.84,0.345,6545
2021,2,TD,enoen,entidad,Tamaulipas,NA,2.98,0.255,7287
2021,3,TD,enoen,entidad,Tamaulipas,NA,3.67,0.262,7705
2021,4,TD,enoen,entidad,Tamaulipas,NA,3.55,0.277,7824
2022,1,TD,enoen,entidad,Tamaulipas,NA,3.78,0.316,7127
2022,2,TD,enoen,entidad,Tamaulipas,NA,3.4,0.342,7197
2022,3,TD,enoen,entidad,Tamaulipas,NA,3.66,0.293,7082
2022,4,TD,enoen,entidad,Tamaulipas,NA,3.12,0.279,7193
2023,1,TD,enoe_2023,entidad,Tamaulipas,NA,2.77,0.232,7734
2023,2,TD,enoe_2023,entidad,Tamaulipas,NA,3.15,0.258,7520
2023,3,TD,enoe_2023,entidad,Tamaulipas,NA,3.32,0.271,7437
2023,4,TD,enoe_2023,entidad,Tamaulipas,NA,3.26,0.281,7515
2024,1,TD,enoe_2023,entidad,Tamaulipas,NA,3.09,0.265,7214
2024,2,TD,enoe_2023,entidad,Tamaulipas,NA,3.43,0.276,7378
2024,3,TD,enoe_2023,entidad,Tamaulipas,NA,3.34,0.276,7318
2024,4,TD,enoe_2023,entidad,Tamaulipas,NA,3.01,0.278,7088
