anio,trimestre,indicador,tipo,valor
2014,2,TCCO,tendencia_ciclo,11.47
2014,3,TCCO,tendencia_ciclo,11.74
2014,4,TCCO,tendencia_ciclo,11.83
2015,1,TCCO,tendencia_ciclo,11.87
2015,2,TCCO,tendencia_ciclo,12.17
2015,3,TCCO,tendencia_ciclo,12.65
2015,4,TCCO,tendencia_ciclo,13.11
2016,1,TCCO,tendencia_ciclo,13.7
2016,2,TCCO,tendencia_ciclo,14
2016,3,TCCO,tendencia_ciclo,13.73
2016,4,TCCO,tendencia_ciclo,13.52
2017,1,TCCO,tendencia_ciclo,13.46
2017,2,TCCO,tendencia_ciclo,13.31
2017,3,TCCO,tendencia_ciclo,13.71
2017,4,TCCO,tendencia_ciclo,14.58
2018,1,TCCO,tendencia_ciclo,14.95
2018,2,TCCO,tendencia_ciclo,15.06
2018,3,TCCO,tendencia_ciclo,15.57
2018,4,TCCO,tendencia_ciclo,16.52
2019,1,TCCO,tendencia_ciclo,17.69
2019,2,TCCO,tendencia_ciclo,18.71
2019,3,TCCO,tendencia_ciclo,19.17
2019,4,TCCO,tendencia_ciclo,19.76
2020,1,TCCO,tendencia_ciclo,21.12
2020,3,TCCO,tendencia_ciclo,24.11
2020,4,TCCO,tendencia_ciclo,24.55
2021,1,TCCO,tendencia_ciclo,24.63
2021,2,TCCO,tendencia_ciclo,24.7
2021,3,TCCO,tendencia_ciclo,24.93
2021,4,TCCO,tendencia_ciclo,25.14
2022,1,TCCO,tendencia_ciclo,29.99
2022,2,TCCO,tendencia_ciclo,30.08
2022,3,TCCO,tendencia_ciclo,30.23
2022,4,TCCO,tendencia_ciclo,30.66
2023,1,TCCO,tendencia_ciclo,31.05
2023,2,TCCO,tendencia_ciclo,30.91
2023,3,TCCO,tendencia_ciclo,30.67
2023,4,TCCO,tendencia_ciclo,31.25
2024,1,TCCO,tendencia_ciclo,32.23
2024,2,TCCO,tendencia_ciclo,32.92
2024,3,TCCO,tendencia_ciclo,32.94
2024,4,TCCO,tendencia_ciclo,32.36
2025,1,TCCO,tendencia_ciclo,31.85
2025,2,TCCO,tendencia_ciclo,32.35
2025,3,TCCO,tendencia_ciclo,33.86
2025,4,TCCO,tendencia_ciclo,35.44
2026,1,TCCO,tendencia_ciclo,36.64
2026,2,TCCO,tendencia_ciclo,37.85
2005,1,TD,desestacionalizada,3.68
2005,2,TD,desestacionalizada,3.74
2005,3,TD,desestacionalizada,3.5
2005,4,TD,desestacionalizada,3.29
2006,1,TD,desestacionalizada,3.36
2006,2,TD,desestacionalizada,3.38
2006,3,TD,desestacionalizada,3.71
2006,4,TD,desestacionalizada,3.78
2007,1,TD,desestacionalizada,3.76
2007,2,TD,desestacionalizada,3.59
2007,3,TD,desestacionalizada,3.58
2007,4,TD,desestacionalizada,3.63
2008,1,TD,desestacionalizada,3.73
2008,2,TD,desestacionalizada,3.68
2008,3,TD,desestacionalizada,3.85
2008,4,TD,desestacionalizada,4.36
2009,1,TD,desestacionalizada,4.9
2009,2,TD,desestacionalizada,5.37
2009,3,TD,desestacionalizada,5.75
2009,4,TD,desestacionalizada,5.44
2010,1,TD,desestacionalizada,5.28
2010,2,TD,desestacionalizada,5.33
2010,3,TD,desestacionalizada,5.23
2010,4,TD,desestacionalizada,5.47
2011,1,TD,desestacionalizada,5.22
2011,2,TD,desestacionalizada,5.32
2011,3,TD,desestacionalizada,5.23
2011,4,TD,desestacionalizada,5.03
2012,1,TD,desestacionalizada,5
2012,2,TD,desestacionalizada,4.85
2012,3,TD,desestacionalizada,4.82
2012,4,TD,desestacionalizada,5.04
2013,1,TD,desestacionalizada,5.01
2013,2,TD,desestacionalizada,5.03
2013,3,TD,desestacionalizada,4.93
2013,4,TD,desestacionalizada,4.82
2014,1,TD,desestacionalizada,4.93
2014,2,TD,desestacionalizada,4.91
2014,3,TD,desestacionalizada,4.94
2014,4,TD,desestacionalizada,4.56
2015,1,TD,desestacionalizada,4.36
2015,2,TD,desestacionalizada,4.35
2015,3,TD,desestacionalizada,4.32
2015,4,TD,desestacionalizada,4.3
2016,1,TD,desestacionalizada,4.17
2016,2,TD,desestacionalizada,3.92
2016,3,TD,desestacionalizada,3.79
2016,4,TD,desestacionalizada,3.64
2017,1,TD,desestacionalizada,3.5
2017,2,TD,desestacionalizada,3.45
2017,3,TD,desestacionalizada,3.37
2017,4,TD,desestacionalizada,3.45
2018,1,TD,desestacionalizada,3.22
2018,2,TD,desestacionalizada,3.32
2018,3,TD,desestacionalizada,3.27
2018,4,TD,desestacionalizada,3.37
2019,1,TD,desestacionalizada,3.45
2019,2,TD,desestacionalizada,3.53
2019,3,TD,desestacionalizada,3.53
2019,4,TD,desestacionalizada,3.48
2020,1,TD,desestacionalizada,3.52
2020,3,TD,desestacionalizada,4.84
2020,4,TD,desestacionalizada,4.68
